ID,,Motivation,Confidence,Problem Interpretation,Preference,Issues,Q#,,
,,I,S,,S,,7a,"Initially going into the situation I decided that I would want to have a higher B and C because a higher A would decrease both B and C, so I choose two maximums over one. ",
,,,S,,C,,7b,I used this strategy because I wanted to have two highly generated resources rather than only have one highly generated resource.,
,,,,,C,,8a,"My strategy was to have two highly generated resources, while trying to find a maximum of the third without it having a drastic decrease on my other two resources.",
,,I,S,,C,,8b,"I used this strategy because I realized that to have a high A I would have to give up B and C, but because B and C are not related I choose to produce maximum B and C.",
,,I,S,,C,,9a,"My strategy was to maximize B and C, while steadily increasing A without it negatively affecting B or C.",
,,I,S,,C,,9b,"I choose this strategy because A negatively affects B and C, so I choose to let those two become more generated while letting A have a smaller generated amount.",
280201,b,I,,,,,1a,I was trying to maximize economic benefits. I wanted to try and get the economic benefits as high as possible by looking at the information provided.,
,,P,S,,,,1b,I used this strategy because the introduction explained that the greater the economic benefit was the greater reward I would receive. ,
,,I,,O,,,2a,I was trying to maximize economic benefits while trying to not over pollute the water. ,
,,I,S,,,,2b,I used this strategy in order to find the greatest economic benefit possible. ,
,,I,,,,,3a,I tried to look at the information given and find the best solution. I was trying to create the highest economic benefit possible.,
,,P,S,,,,3b,"I did this because I was told the greater the economic benefit, the greater the reward.",
,,I,,,C,,4a,I was trying to maintain a large economic benefit while preserving the water. ,
,,,S,,,,4b,I took into account the water as well as economic benefits. ,
,,I,,,C,,5a,I was trying to find a balance between water quality and economic benefits.,
,,I,S,,C,,5b,I used this strategy in order to find a plan that would preserve the water to a healthy standard but also make money for the small town. ,
,,I,,,C,,6a,I was trying to find a balance between economic benefits and water quality. I wanted to try and evenly distribute the waste between the 3 years so that the lake would not become over polluted.,
,,,,,,,6b,I used this strategy based off of the information provided. I tried to make an inference on the best plan for the town. ,
,,I,S,,C,,7a,I wanted to preserve the water quality as much as possible. At the same time I wanted to create an economic benefit without ruining the lake. It was important to find a balance between the 2. ,
,,,S,,,,7b,I used this strategy from looking at the information give. I was comparing the charts and sliders to try and find the best solution I could come up with. ,
,,I,,,C,,8a,"I was trying to maintain the water quality while finding an economic benefit. I didn't want to over pollute the lake, but also wanted to generate revenue for the town.",
,,I,S,,C,,8b,"I used this strategy after comparing the information provided. I was comparing the options that had an economic benefit, but that also had a decent water quality value. ",
,,I,S,,C,,9a,"I was comparing the information provided and trying to find the best solution possible. I wanted to find a balance between water quality and economic benefit. Since the water quality is more important in this case, I was less worried about the economic benefit and was trying to preserve the water as much as possible. ",
,,I,,,C,,9b,"I was trying to produce some economic benefits but did not want to over pollute the lake in order to prevent the algae takeover. For this task, I was more concerned with the water quality than the economic benefit.",
280202,c,i,s,,,,1a,I was trying to achieve the greatest amount of A so slid the bar all the way up,"Mentions slider, but focus was on achieving greatest A"
,,i,s,,,,1b,There was only one factor and this gave the highest A.,
,,,s,,,,2a,I looked at how both sliders affected A to get the greatest amount.,
,,,,,,,2b,"Both increased A, and the goal was to get the highest amount.","Taken on its own, this is just stating the goal and what the sliders do"
,,i,s,,,,3a,I slid all bars up to get the greatest amount of A,
,,,,,,,3b,"All three bars increased the amount of A, which is what was wanted.","Taken on its own, this is just stating the goal and what the sliders do"
,,i,,,c,,4a,I was trying to get the greatest amount of A and B without dropping either one too low.,
,,i,s,,t,,4b,"Although the amount of A was low, the amount of B was very high and if the slider was moved farther then B would have dropped significantly, but A stayed the same until B got very low.",Mentions possible sacrifice and threshold. Coded for threshold because it was stronger.
,,i,,,c,,5a,I tired to get the highest amount of both A and B without either one being very low.,
,,i,,,,,5b,"B is still very high, but A is slightly higher than previously.",
,,i,s,,c,,6a,To get the highest amount of A and B together. ,
,,i,s,,,,6b,This achieved the greatest amount of B without lowering A more than B would be if A were higher.,
,,i,s,,,,7a,"To get the highest amount total of A, B, and C.",
,,i,,,c,,7b,"B was at its highest and A also was fairly high, giving a total that seemed higher than the rest.","""seemed higher"""
,,i,s,,,,8a,"Achieve the greatest amount of A, B, and C.",
,,i,s,,,,8b,"The highest amount of A was obtained and a very high amount of C, giving a total higher yield than other combinations of A and C.",
,,i,,,,,9a,I got the greatest amount of A and B that seemed achievable.,
,,i,,,s,,9b,"As A increased, C consistently decreased, but I was able to get a high amount of A and B instead, so this seemed better than only one high amount.",
280203,d,,s,,,,1a,"maximize A, the bigger the number at the bottom the more filled the graph of A was.  So I picked the highest number",
,,,,,,,1b,Because we were told the higher A is the better,Focused on instructions
,,,s,,,,2a,"I tried to replicate the example that had A the furthest filled, in this case that was the example where both bars were set to 10.",Is this anything?
,,p,s,,,,2b,"It filled the bar the most, meaning a higher A which means more reward.",
,,,s,,,,3a,I set all 3 bars to 10.  I copied the example that gave the highest A.,
,,i,s,,,,3b,It maximized A and the higher A is the better.,
,,,,,c,,4a,I replicated the example that had the graph that appeared to balance A and B the best.  The other choices made further sacrifices of one or the other in order to gain just alittle,"""appeared to"""
,,p,,,,,4b,I tried to pick a strategy that maximized both but I had to settle with this one.  That is what we are being rewarded based on.,
,,i,s,,c,,5a,I replicated the example where in order to improve one factor you had to sacrifice the other.  It was the spot where this was most balanced.,
,,p,s,,t,,5b,we are being rewarded based on how easy it would be to change one factor affecting the other factor.  This one made it the most difficult to switch without sacrifice.,
,,i,,,t,,6a,I tried to pick the example that made it the most difficult to change without lowering at least one letter.,
,,p,s,,,,6b,This is what determines our reward.,
,,i,s,,s,,7a,"I picked the example that gave a high B and high C because both were desirable, it sacrificed a low A but in order to raise A both B and C would lower.",
,,p,s,,,,7b,"we are being rewarded based on how much better the plan could be made without lowering the other aspects, in order to raise A in this example both the other aspects would suffer.",
,,i,s,,s,,8a,I picked the example where B and C were both maximized while A was low.  It was difficult to improve on A without a major lowering of one or both of the other aspects.,
,,p,,,,,8b,We are being rewarded based on how much better the plan could be made without lowering one of the other aspects.,
,,i,s,,s,,9a,I chose the graph that had a medium A and C but sacrificed B.  ,
,,p,s,,,,9b,In order to improve on one aspect one more other aspects would suffer a greater amount lower.  We are being rewarded on how much better it could be made without lowering the other aspect.,
280204,a,i,,o,c,,1a,I was trying to maximize economic benefits while releasing the least amount of waste into the lake as possible. I decided on a 0.43 waste/year into the lake because that also allowed for a little less than half the possible maximum economic benefits. ,
,,i,s,o,c,,1b,I used this strategy because it is important that the town continues to generate a profit but it is also important that the lake is not polluted to maximum possible levels.,
,,i,s,,,,2a,"I chose to put more waste into the lake for the first time period, and less waste in the lake for the second time period. This allowed for a higher amount of economic benefits.",
,,i,,o,c,,2b,I used this strategy with the hopes that less waste during the second time period would allow the lake to begin to heal on it own while still allowing a high economic benefit for the people of the town.,
,,i,s,,,,3a,"I chose to allow more waste during the first time period, less waste during the second time period and the least amount of waste during the third time period. This allowed for a good amount of economic benefit.",
,,i,,o,c,,3b,I used this strategy because it allowed the amount of waste per year being dumped into the lake to decrease over time while still allowing the town to receive economic benefits. By allowing less waste every time period there is hope that the pollution in the lake will begin to improve.,
,,i,s,,s,,4a,For this decision I choose to focus on the water quality instead of the economic benefits.,
,,i,s,,,,4b,I chose this strategy because since this was the only plan for the 100 year period there is less ability for the lake to decrease the amount of pollution in it since the waste/year will be the same flow rate for 100 years straight. ,
,,i,,,,,5a,For this strategy I tried to maximize the economic benefits by allowing more waste into the lake for the first time period and less waste during the second time period.,Should this be S when only 1 objective is even mentioned?
,,i,,,,,5b,"I choose this strategy because the lake can being to heal on its own if there is less waste in being discharged into the lake, which is what I tried to accomplish during the second time period.",
,,i,s,,,,6a,For this I decided to allow more waste into the lake during the first and last time periods and less waste into the lake during the second time period. This allowed for more economic benefits.,
,,I,,,,,6b,I chose this strategy because I am hoping that the lake would begin to heal during the second time period to allow waster quality to be improved before increasing the amount of pollution in the lake again. This trade off allowed for more economic benefits.,
,,i,,,,,7a,I was trying to maximize economic benefits and water quality but because there was no way to tell how much waste is being discharged per year from the nature source it was hard to focus on reliability . ,
,,i,,,,,7b,I chose this strategy because it seemed the best way to benefit the lake and the people of the town.,
,,i,,,c,,8a,I was trying to maximize water quality and economic profits over two periods of time. ,
,,i,,,,,8b,"I used this strategy because it seemed like the water quality would not be terrible given the economic benefits. But, there was a decent chance algae would take over the lake.",
,,i,,,s,,9a,I was trying to maximize water quality and economic benefits. I did not fully take reliability into account.,
,,i,,,s,,9b,I used this strategy because it allowed for high water quality given the economic benefits and I did not fully take the chance of algae taking over the lake into consideration because there was no way to fully determine that.,
280205,b,i,,o,c,,1a,I picked the option that resulted in a somewhat good production rate for the factory as well as a clean lake.,
,,i,s,o,c,,1b,It appeased to lake loving citizens and those who worry about the economy.,
,,i,s,o,,,2a,I chose a lower waste level for the first 50 years so that the Lake doesn't get too dirty and for the second 50 years I increased it.,
,,i,,am,,,2b,"People will be fine with the factory for the first 50 years because its waste level isn't too high, and hopefully by the second 50 years they wont care about increased waste cause of the benefits of the factory.",
,,,s,,,,3a,I gradually increased the waste by .02 every 33 years.,"Should this be i? If not, what about 1990?"
,,i,,am,,,3b,I did this because a gradual increase calls less attention from the public and 66-100 years from now our efficiency in terms of waste management will probably be better.,
,,i,s,,,,4a,I picked a lower waste rate.,
,,i,s,,t,,4b,"I used this strategy because at .02, the lake quality was very high. I chose this over .03 because at .03, the economy wasn't a lot better than at .02 and the lake quality was much lower.",
,,,,,,,5a,I went with low waste for the first 50 years and more for the last 50.,
,,i,s,am,,,5b,"I used this strategy because initially we don't want to disturb the lake quality and anger the citizens, so .01 ensures good quality. Then, .07 will help to better the economy during a time where there is probably better waste management and more support for the factory.",
,,,s,,,,6a,I looked at all of the examples and chose this setting from them.,Focused on examples?
,,i,s,,c,,6b,"The example provided that used these numbers showed the dot on the graph in the upper right, which means lake quality and economic quality were both very high","Once again, mentions example but goes into enough detail"
,,i,s,,,,7a,I chose a lower number to avoid overflow of waste from natural waste.,
,,i,s,,c,,7b,"I chose this because it kept the water quality good while accounting for excess waste. Additionally, the economy wasn't too bad.",
,,i,,,c,,8a,I was trying to make sure the water quality and reliability were in good positions with a somewhat productive economy.,
,,i,s,,c,,8b,The water quality and reliability were satisfactory and the economic benefits were very good.,
,,i,,,c,,9a,I was trying to have a sufficient amount of factory production while maintaining water quality and reliability,
,,i,s,,c,,9b,"This strategy produces a good economy while limiting waste, which is important to make sure that algae don't take over the lake.",
280206,d,i,s,,,,1a,"I was trying to get the most out of A, so I raised the slider bar all the way to 10.",
,,,,,,,1b,Going through the examples it seemed as if the higher the slider bar went the more you received from A.,Too focused on examples?
,,i,s,,,,2a,I was trying to make A the largest it could be so I made both sliders 10.,
,,,s,,,,2b,When looking through the examples the greatest amount of A occurred when the sliders were maxed out.,Too focused on examples?
,,i,s,,,,3a,I was trying to make A the highest I could so I made all the sliders 10.,
,,,s,,,,3b,When moving through the examples it was clear that A rose when the sliders did as well.,Too focused on examples?
,,i,,,c,,4a,I was trying to get the most A while also getting the most B so I settled in the middle trying to get equal amounts of A and B.,
,,,s,,c,,4b,When the slider was minimal it gave me all B and no A and when the slider was maxed out I had al A and little B so I settled in the middle.,
,,i,s,,c,,5a,Trying to get the most A and B so I chose the middle value for the sliders.,
,,,s,,,,5b,I used this strategy because when the sliders were high there was more a than b and the opposite for when they were low.,
,,,s,,c,,6a,I was trying to use all three sliders to get a near equal and high amount of both a and b so I moved the sliders towards the middle.,
,,,,,,,6b,The sliders seemed to give more to a at high values and more to b at low values.,
,,i,,,c,,7a,I was trying to get the most of A B and C collectively,
,,i,s,,c,,7b,I used a lower number on the slider because it benefitted both B and C well and also A some.,
,,i,,,c,,8a,I was trying to get the most a b and c just like always,
,,i,,,s,,8b,I thought more b and c was more appropriate than a lot of a and not as much b and c,
,,i,s,,c,,9a,get as much of them all as possible,
,,i,s,,s,,9b,I picked low values bc a and c responded well and made up for a lower b,
280207,c,i,s,,,,1a,I moved the slider bar from left to right slowly to see where the most amount of A was generated,This participant mentions the sliders a lot. I coded I mostly becuase they also talk about the objectives
,,,s,,,,1b,It was simple and effective,
,,i,s,,,,2a,I stared with Period 1 and moved the slider from left to right slowly to watch where the most amount of A was generated. I repeated this for Period 2.,
,,,s,,,,2b,It took minimal amounts of time and was effective in finding the best plan,
,,i,s,,,,3a,"I started with Period 1 and moved the slider from left to right to find the greatest amount of A, I repeated this for periods 2 and 3",
,,,s,,,,3b,It was quick and effective,
,,i,s,,t,,4a,I moved the slider from left to right to see where amounts of A and B were highest.  I found that it dropped off around 2.7 but it seemed like there were higher amounts of A and B combined for this location versus others ,
,,i,s,,,,4b,Slowly moving the slider let me see where amounts of A and B got really low and decide where the best spot was.,
,,i,s,,c,,5a,I started by moving Period 1 slider from left to right to see where the highest amounts of both A and B were located. This was 3.5.  I then moved Period 2 slider from left to right to see how this affected the plan.  It only ended up making amounts of A and B lesser so I kept it at 0.,
,,i,s,,c,,5b,It provided me with the highest amounts of A and B,
,,i,s,,c,,6a,I started by moving slider 1 to determine the location with the highest amount of A and B. Then I moved slider 2 to see how it affected these amounts. Then I moved slider 3 to see how it affected the amounts.  I then went back to slider 2 and moved it around again to determine the best location for it and I again did the same for slider 1.,
,,i,s,,c,,6b,I wanted to make sure I tried as many variations of each slider as possible to make sure I reached the highest amount outcomes for both A and B,
,,i,s,,s,,7a,By moving the slider I watched where the amounts were and decided upon a point that had very high amounts of B and C and a lower amount of A.,
,,i,s,,s,,7b,Even though A had a lower amount the very high amounts of both B and C should make up for the lack of amount of A.,
,,i,s,,c,,8a,"I started with the first slider to find where the highest amounts of A, B  and C was located. I them began to move slider 2 back and forth to see how it affected the amounts.  I went back and forth until I found a combination with the highest amounts of each possible.",
,,,s,,,,8b,"So I could see how different locations on the slider bar affected the amounts of A, B and C",
,,i,s,,c,,9a,"I started with the first slider bar and left it where the highest amounts of A, B and C were located. I then moved on to slider 2 and did the same process. Same with slider 3.  I then went back trough each to double check they were in the best location possible.",
,,,s,,,,9b,It allowed me to step through each slider and then go back and check my work to make sure I was making the best choice possible.,
280208,a,i,s,o,c,,1a,I used the strategy of trying to get the most economic prosperity with the least amount of waste. ,Comprimise?
,,i,s,o,c,,1b,"I used this strategy because I wanted the economy to do well, but I also wanted to put the water quality of the lake into perspective. ",Comprimise?
,,,s,,,,2a,I used a high amount in the first period and a lower amount in the second period. ,
,,i,,o,c,,2b,"I used this strategy because in the first period, the impact of the slider bar had a bigger effect than the effect of the second bar. Once again, I wanted to have a high economic prosperity without ruining the water quality too much. ",Comprimise?
,,i,s,,,,3a,"In period one, I had the most pollution of the water and then reduced it exponentially over the second and third periods. ",
,,i,s,,,,3b,"I used this strategy because each improvement of the economy decreased over the three periods, so I wanted to maximize the first period as much as I could. ",
,,i,,,c,,4a,"I tried to find a median between water quality and economic factors, but leaned towards economic factors. ",Comprimise or sacrifice? (check below this too)
,,i,,am,,,4b,"I used this strategy because I felt as though I was not polluting the water too much, but also was able to prosper economically. In addition, the thought of the algae eating some of the waste had me lean toward moving the dot towards the economic side.",
,,i,,,,,5a,I tried to maximize the economy to the best of my ability without hurting the water too much.,
,,i,,,,,5b,I used this strategy because I felt that I maximized my economic ability without moving the position of the quality of water too much. ,
,,,s,,,,6a,I played around with the slider bars to get the highest position.,
,,i,s,,,,6b,"I used this strategy because if I increased the slider bars too much, it would hurt the water more than it would help the economy. ",
,,i,,,c,,7a,I tried to maximize the water quality and the economic benefits to the best of my ability.,
,,i,,,,,7b,"In this scenario, I did not want to pollute the water too much because it is already being polluted by natural factors. ",
,,i,s,,c,,8a,My strategy was to maximize the water quality and the economic factors to the best of my ability. I put more production into the first time period compared to the second. ,
,,i,s,,,,8b,"I used this strategy because the first time period had a bigger impact than the second period. In addition, I was afraid of polluting the water too much. ",
,,i,s,,c,,9a,"I tried to maximize water quality, reliability, and economic profit. ",
,,i,s,,c,,9b,I used this strategy because I wanted to make sure that I didn't hurt one aspect more than the other. ,
280209,b,i,s,,,,1a,Figure out how much waste would be put into the lake by the end of the time period.,
,,i,,d,,,1b,"I played around with the slider to see if it would change anything and it didn't, so I just picked a lower number on the slider because you don't want a high amount of waste being put into the lake.","Was in static, but this could be D or maybe O"
,,,c,d,,,2a,"I tried moving the sliders around to see if that would change the ""economical benefits"" and nothing worked so I just picked a number and had them match for each of the time periods.",Could these be C as well?
,,,c,,,,2b,I chose this strategy because I didn't know what else to do. ,
,,i,s,o,,,3a,"I looked through the different graphs of the economical benefits and saw that putting all three at .1 would be the most beneficial  but not for the lake. I saw that around .7/.6 was also pretty beneficial, but still that seemed high to put that much waste into the lake. So I went down .1 and chose each other them to be a little lower than that graph. ",Not sure if this should be straightforward or not
,,i,s,o,,,3b,"I chose this strategy because even though putting all of them at .1 would be very economically beneficial, it wouldn't be for the lake and environment.",
,,i,s,,t,,4a,"I looked at the different graphs with the different slider portions. I saw that one extreme had high water quality and low economical benefits and the other extreme had low water quality and high economical benefits. Then I saw that .2 had high water quality and lower economical benefits, but it was enough. When the slider was moved to .3, the water quality dropped significantly.",
,,i,s,,c,,4b,"I chose this strategy because it was important to have good water quality rather than bad water quality, so I picked the highest it seemed it could be for the water to be good quality and the economical benefits to be somewhat okay.","""seemed"""
,,i,s,,c,,5a,I chose .03 for both of the sliders because it seemed to be the best placement to have the best good water quality along with the highest economic benefit rate possible.,"""seemed"""
,,i,s,,s,,5b,I chose this strategy because you want to have good water quality over the economic benefits because the water quality effects the town and will make it better for the town.,
,,i,s,,c,,6a,I put all of the sliders at .025 because it seemed to be the best placement for good water quality and decent economic benefits.,"""seemed"""
,,i,s,,,,6b,I didn't want to have to low of water quality because that would be bad for the town. ,
,,i,,,s,,7a,"I chose .02 because the water quality levels were high and so was the reliability. The economic benefit was not that good, but the other two categories mattered a little more in my opinion.",
,,i,s,,,,7b,I chose this because you want good water quality to ensure that the lake is still useable.,
,,i,s,,,,8a,I chose .02 again because this seemed to be the best fit for good water quality and for reliability.,"""seemed"""
,,i,s,,,,8b,You want good water quality in the lake so it is still useable. ,
,,i,s,,,,9a,Once again I chose .02 because it seemed the most logical to get really good water quality and reliability. ,"""seemed"""
,,i,,,s,,9b,I think it is more important to have good water quality than good economic benefits because the lake would not be useful at a certain point due to all of the pollution and algae.,
280210,c,,,,,,1a,I tried different values of A to try to figure out a pattern,A lot of vaguesness so many blanks
,,i,,,,,1b,To see how I could find the highest output for A,
,,,,,,,2a,I tried both sliders separately then together,
,,,,,,,2b,To see how they interacted alone and with each other,
,,,,,,,3a,I tried each slider alone and with the others,
,,,,,,,3b,To see how they interacted alone and with each other,
,,i,s,,,,4a,I tried it at various points in the slider to find what had the greatest outcome overall i.e the greatest A+B,
,,i,s,,c,,4b,I didn't find a way to keep A and B equal in an optimal way so I chose the way that had the max for one and still the highest possible with that the case for the other,
,,i,,,,,5a,I tried to again maximize A+B,
,,,,,,,5b,It seems to me to have the most benefit,
,,i,,,,,6a,Tried each individually then together and tried to find max A+B,
,,i,,,,,6b,See the different ways I could get the highest A+B,
,,,,,c,,7a,Tried to find highest for each of them by trying all values,
,,,,,,,7b,To find the highest overall output,
,,,,,c,,8a,Played around with both levers to try to find highest output.  Chosen one where all three are decently high,
,,,,,c,,8b,Seems to be the best for each of them,
,,,,,c,,9a,Played around to try to find when all three are pretty high,
,,,s,,c,,9b,Keeps it even but still has good outcomes for all,
280212,D,i,s,,,,1a,My strategy was to see how high I could get the A bar to fill up in each example shown. ,Could this be I as well
,,,c,,,,1b,I used this strategy because I was not given much context. The only thing I knew was that getting A as high as possible was the goal. ,
,,,,d,,,2a,"I used the same strategy as part 1, where I was attempting to get the A bar to fill up as high as possible by playing around with the period bars.",What did playing around with sliders do here?
,,,,d,,,2b,I used this strategy to see a visual of the impact of moving the bars around. ,
,,,s,,,,3a,"One this example, I realized that the bars are staying the same every round regardless of what decision is made. In this case, I used copied the example bar at the top that matched with the highest amount filled for A. ",
,,,,,,,3b,I used this strategy because my first strategy was wrong. ,
,,,s,,,,4a,"For this case, I was using the example and visual together to make my decision. I realized the example number determines where the dot is placed on the graph. My strategy was to the line the dot into the middle of the graph so I chose a number that was similar to the example.",
,,,,,c,,4b,"I used this strategy because I do not have enough information given to see the impact A and B have on each other. As a result, I choose a middle spot on the graph so they could balance each other.",
,,,s,,,,5a,I used the same strategy as before by looking at the numbers used in the example and seeing where they line up on the graph in order to find the best solution for the middle of the graph. ,
,,i,,,c,,5b,I used this strategy because I did not the result to be completely one letter. I am trying to get them into the center. ,
,,,,,,,6a,My strategy here was the same as the last two segments. I am attempting to get the dot as close to the center as possible. ,
,,i,,,c,,6b,I used this strategy because I am trying to not have the results heavily affect one letter and worsen the other.,
,,,,,,,7a,My strategy is to get the dot as close to the where the 3 arrows meet. I saw from the example that around 5 was my best chance at this strategy.,
,,i,s,,c,,7b,I used this strategy in order to plan for the highest outcomes. Moving towards where all the arrows are pointing has the most economic benefits and water quality. ,
,,i,,,,,8a,My strategy here was to get close to the center of the 3 arrows but too close seems too risky so I used the examples to find a spot close but not too close.,
,,,,,,,8b,I used this strategy to try and get the highest results without being too risky. ,
,,,,,,,9a,"In this example, I used the similar strategy as before by trying to get the dot as close as possible but not completely because wanted to eliminate the risk of high levels of B. ",
,,,,,c,,9b,I used this strategy to try and balance the three levels in order to the highest results without being too risky. ,
280213,d,I,,,,,1a,I tried to maximize A by comparing the 6 examples.,
,,,,,,,1b,"It seemed there was a positive correlation between the period 0-10 and the amount of A, meaning the higher number would show the most amount of A",
,,,S,,,,2a,I just copied the example that provided the most amount of A.,
,,,,,,,2b,Because the other examples did not really show anything that would lead me to believe that lowering one bar or the other would increase the quantity of A more than the other.,
,,I,,,,,3a,I tried to maximize A by comparing the examples,
,,,,,,,3b,"this is similar to the last question, putting all of the sliders at 10 almost completely filled A ",
,,I,,,C,,4a,I was trying to evenly distribute A and B ,
,,I,,,C,,4b,I felt like they should be equal so I picked a number in the middle hoping that it would be split more evenly. The extremities favored one or the other so the middle may favor an equal amount ,
,,I,,,C,,5a,I tried to evenly distribute A and B by seeing if the two sliders worked individually on different axes.,
,,,,,,,5b,"It seemed as though the sliders controlled either the x or y value starting with the origin at the top of B, so moving one made it go down as the numbers increased and the other moved to the right as the numbers increased",
,,,C,,C,,6a,This one was tricky to use three sliders to make them even. I tried to use the same strategy as previous but it did not make as much sense,
,,,,,,,6b,I just tried to figure out any patterns that caused the different directions,
,,I,,,C,,7a,I tried to use the examples to figure out an average amount of A B and C ,
,,I,,,C,,7b,the example showed 5 and 7 to surround the middle so I figured 6 would be a sweet spot,
,,I,,,C,,8a,both sliders needed to help maximize A B and C,
,,,,,,,8b,it felt like higher period 1 and lower period 2 may optimize the value,
,,I,C,,C,,9a,maximize A B and C but this one is really hard so I could not really find a correlation,
,,I,,,C,,9b,I sort of picked an average number in the middle it seemed to creep toward the center of each letter,
280214,c,I,,,,,1a,have the most amount of A generated as possible so I moved the slider to the highest perceived amount of A,
,,I,,,,,1b,seemed to generate the most A,
,,I,,,,,2a,I moved the sliders to generate the most amount of A possible,
,,I,,,,,2b,seemed to have the most amount of A at those levels,
,,I,,,,,3a,generate the most amount of A,
,,I,S,,,,3b,had the highest amount of A levels,
,,I,,,C,,4a,balance between A and B,
,,,,,,,4b,seemed to not affect B as much and had high level of A,
,,I,,,C,,5a,balance A and B,
,,I,S,,S,,5b,B was low with any higher level so just went with higher levels of A,
,,I,,,S,,6a,generate a higher level of B,
,,,,,,,6b,generated high levels of A in previous rounds,
,,I,,,C,,7a,balance all 3,
,,I,,,C,,7b,seemed to be in the middle for everything - so everything had roughly equal levels ,
,,I,,,C,,8a,trying to balance all 3 ,
,,I,S,,C,,8b,seemed like a good balance ,
,,I,S,,C,,9a,seemed like good levels of balance for all 3 scales ,
,,I,,,C,,9b,wanted to balance everything the best I could,
280215,a,I,,,,,1a,Trying to create the most economic benefits.,
,,P,S,,,,1b,It rewards me the most money.,
,,I,,,,,2a,Trying to create the highest economic benefits.,
,,P,S,,,,2b,It rewards me the most money.,
,,I,,,,,3a,Create the most economic benefits possible.,
,,P,S,,,,3b,"The higher the economic benefits, the greater the reward at the end of the study.",
,,I,,,C,,4a,Balance the amount of economic benefit with quality of water.,
,,P,S,,,,4b,These are the two determinants of my reward at the end of the study.,
,,I,S,,,,5a,This produces the optimal ratio of water quality and economic benefits.,
,,P,S,,,,5b,These are the determinants of my reward at the end of the study.,
,,I,S,,C,,6a,This strategy produces the most economic benefits without making the water quality significantly worse.,
,,P,S,,C,,6b,Finding the best balance between economic benefits and water quality will make my reward higher.,
,,I,,,C,,7a,"Find the optimal balance between all 3 factors - economic benefits, water quality, and reliability.",
,,P,S,,,,7b,"My reward is based on economic benefits produced, level of water quality, and maximizing the chance that algae will not take over the lake.",
,,I,,,C,,8a,My strategy was to find the optimal balance between all 3 factors.,
,,P,S,,C,,8b,"My reward is determined based on my plan's ability to produce economic benefits, maintain water quality, and maximize the chance that algae does not take over the lake.",
,,I,S,,C,,9a,"I chose the plan with the best balance between all 3 factors. Reliability is particularly important because if algae takes over the lake, it will be PERMANENTLY unenjoyable.",
,,P,S,,C,,9b,"My reward is determined based on my plan's ability to produce economic benefits, maintain water quality, and maximize the chance that algae does not take over the lake.",
280216,b,,,,,,1a,70% waste for the company,
,,I,,O,C,,1b,"The company needs to have this waste, yet not all of the waste should go here because of the lake",
,,I,S,O,C,,2a,"More waste in the short term, less in the long term.",
,,I,S,O,S,,2b,Because there will likely be greater environmental effects long term.,
,,,,,,,3a,Staggering the amount of waste.,
,,I,S,O,,,3b,This will allow jobs to go in and out ,
,,I,,,C,,4a,Keep the waters more clean while providing economic benefits,
,,I,,,,,4b,The algae is very harmful ,
,,,,,,,5a,Changing the amount of waste to less overtime,
,,I,S,,,,5b,We cannot put more waste in the lake because of its negative affects,
,,,,,,,6a,Staggering the amount of waste,
,,I,S,,,,6b,In order to not have all of it at the same time,
,,I,S,,,,7a,Have better water quality,
,,I,S,,,,7b,It is important to not have algae,
,,I,,,,,8a,Aiming for reliable water quality,
,,I,S,,,,8b,It is important to the people and the lake,
,,I,S,,,,9a,Lower waste over time.,
,,I,S,,C,,9b,To compromise ,
280221,a,I,S,,,,1a,I found a place where the benefits were the highest,
,,I,S,O,C,,1b,It is the first set of data so the waste won't be too bad if the benefits outweigh the cons,
,,I,S,O,C,,2a,"I made sure that the second set of years had a lower number than the first, but still was high enough so that there would be some benefit",
,,I,S,O,C,,2b,"I used this strategy because I wanted the second set of years to still  be high, but be low enough for the water to deal with the waste",
,,I,S,,,,3a,I made sure the first set of years had the greatest economic benefit and tried to make the other two lower.,
,,I,S,O,C,,3b,"I did this so the two other sets of years would still have benefit, but be able to make up for the large amount of waste accumulated in the first set",
,,I,,,C,,4a,I tried to find a place where there were benefits but the water quality wasn't too low,
,,I,S,,,,4b,To have high benefits,
,,I,,,C,,5a,"I tried to find a place where the quality of water wasn't too low, but there was a high economic outcome. I also made sure the second set of years was lower than the first",
,,I,S,,,,5b,I did that so the second set of year would give the body of water time to fix itself,
,,I,,,C,,6a,"I tried to find a spot that didn't result in the quality of water to be too poor, but still have a great outcome",
,,I,S,,,,6b,To make sure the two other sets of years gave the water time to fix itself,
,,I,,,C,,7a,I tried to find a place where the quality of water wasn't too low but there would be some economic benefit,
,,I,,,,,7b,I didn't want the water quality to be too low,
,,I,,,C,,8a,I wanted to find a balance between water quality and economic benefit,
,,I,S,,,,8b,I made sure I made the second set of data lower than the first so there wouldn't be too much waste in the body of water,
,,I,,,C,,9a,I tried to find a place that would give me the most economic benefit but made sure that the second two sets of years were lower than the first and focused on water quality more than economic benefit,
,,I,,,C,,9b,"I wanted a good amount of economic benefit, but wanted to still make sure the water quality was not poor",
280222,c,I,S,O,C,,1a,I chose 8 and a half because I knew a high amount of A was desirable but I left that little bit of room for margin of error.,
,,I,S,Am,,,1b,I used this strategy because you always want to be careful and plans can change and you need to be able to be adaptable and have room for that change. ,
